I_h-field,A	E_Hall,mV
0	0
0.3	1.5
0.6	2.9
0.9	4.3
1.2	5.7
1.5	7.1
1.8	8.4
2.1	9.7
2.4	11.0
2.7	12.1
2.88	12.8
