I_h-field,A	E_Hall,mV
0	0
0.3	2.3
0.6	4.4
0.9	6.5
1.2	8.6
1.5	10.6
1.8	12.6
2.1	14.5
2.4	16.4
2.7	18.2
2.97	19.7	
