I_h-field,A	E_Hall,mV
0	0
0.3	4.6
0.6	9.3
0.9	13.9
1.2	18.4
1.5	23.0
1.8	27.2
2.1	31.4
2.4	35.5
2.7	29.4
3.0	43.2
